domain,group,betweeness centrality_std_cor,betweeness centrality_average_cor,degree_std_cor,degree_average_cor,closeness centrality_std_cor,closeness centrality_average_cor
C7-1,cn,0.0344637744017511,0.83539707822839,0.0228149665813509,0.9329669370413048,0.0602676129430921,0.8300046329660151
C7-1,us,0.0214717782880409,0.8516611308065845,0.0102217352583829,0.940025272427518,0.0138741333218442,0.9425425954512928
C8-1,cn,0.0794819923827714,0.8488281542708936,0.0182744806350469,0.9693038454202834,0.277403175893311,0.7436019237233865
C8-1,us,0.0247236797588521,0.8508465277096654,0.0123494240657435,0.9217813006891522,0.0337752053226457,0.8857284891242854
C9-1,cn,0.0962017599527856,0.8376039718995725,0.0887346331895395,0.8903407984231241,0.1368078766277045,0.8897016424102917
C9-1,us,0.0359716192834582,0.8333771319596182,0.0630125512217946,0.8722324155034571,0.1398940612619872,0.7473071867483393
D01-1,cn,0.0295194325498771,0.9517945963567488,0.057528428092229,0.9452940306443104,0.0704228735953837,0.9297149488330448
D01-1,us,0.1362626604462521,0.7871863919867385,0.0318537974164334,0.9280360530162488,0.034710882143669,0.9627240252321396
D02-1,us,0.2374154175025897,0.8349287439368906,0.1126720911485617,0.9306719483259078,0.3469222755485612,0.8101266527222576
D03-1,us,0.1148739665091174,0.8360249075379498,0.0353151868852246,0.9367527675035484,0.275449859311997,0.6084403885228589
D04-1,us,0.0486044638447022,0.924834608793638,0.056177164717758,0.956616110875578,0.0678288062398339,0.8837961746044339
D06-1,cn,0.0881875114729336,0.8856116248736594,0.100151524391558,0.8814173399472377,0.0946035790170754,0.8866467528499961
D06-1,us,0.0714852932097225,0.8388160024367528,0.0838734360099259,0.8774511868613496,0.0781335266423271,0.8666089533199651
D07-1,us,0.0094548389581334,0.9609467364430992,0.0089413098606863,0.9877585104875942,0.0276012898920972,0.9477725277411064
D1-1,cn,0.0013531824541053,0.9986468175458948,0.0047947391555164,0.9952052608444836,0.0263775350276731,0.9736224649723269
D1-1,us,0.0692227159414366,0.8969357932171964,0.0385074783393625,0.9265287828884156,0.0361038885717402,0.937436262141902
D2-1,us,0.0765359785028246,0.9269765642488909,0.0208323464788394,0.9866037088007256,0.0253424632513617,0.9758865997647832
D21-1,us,0.0685522239349067,0.8870393227127933,0.0563932453184516,0.934115939486738,0.0566819302488597,0.8761681562809392
D3-1,us,0.1346143509302803,0.7801751291903825,0.0604419589414924,0.9277206461235552,0.0561311699328588,0.8077493415913558
D4-1,us,0.0688124501298615,0.8379625607004929,0.0588229578693756,0.8667065934239132,0.0902006285169243,0.8424694453969254
D6-1,cn,0.1299238868757552,0.8424199648746958,0.1118156813708462,0.871216474012202,0.1678271037249251,0.8572073825337003
D6-1,us,0.0595947085148829,0.8256668562365188,0.0573981147645287,0.889046394043361,0.092462641246036,0.8141101998730985
D7-1,us,0.0169458771353782,0.899888003780299,0.022534207650392,0.9511145343258413,0.0395393140642678,0.9152303419247124
E01-1,cn,0.1278123853228933,0.909622995618554,0.0056367653134618,0.9960142050228938,0.0472179306357126,0.9666118810538916
E01-1,us,0.0829999528864333,0.9048758281730074,0.0102075824300538,0.9829758748523828,0.0894238879112838,0.9050074678587444
E02-1,us,0.1881197649880192,0.8257343002689215,0.0897378187448863,0.8998768617766387,0.1921056567139868,0.6957785436762018
E03-1,cn,0.0435743000998841,0.8855894893829394,0.0559385209629164,0.8886700017120962,0.097550261315833,0.8849724365793226
E03-1,us,0.033213853798036,0.9532102056389796,0.0477003862589323,0.9548755330049984,0.0430257068529861,0.9561823844145538
E04-1,cn,0.1937389916837082,0.8881447409988844,0.0228063748210357,0.9868327333578352,0.0228063748210357,0.9868327333578352
E04-1,us,0.0561463944651397,0.9142610576520585,0.0206031360968402,0.9732627175245734,0.0656237574062784,0.9502671945932022
E05-1,cn,0.0215064862465719,0.9815140342528096,0.0148609048549732,0.9852204784862671,0.0228270285119609,0.9808814984061356
E05-1,us,0.0356122771868418,0.8741531750009961,0.0135760794203013,0.94959233412073,0.1299763026766498,0.7659611526487856
E06-1,us,0.0368658349023723,0.9271548832035648,0.0525480742151265,0.9506499893529586,0.0497892214778055,0.9212510226423358
E1-1,cn,0.1278123853228933,0.909622995618554,0.0056367653134618,0.9960142050228938,0.0472179306357126,0.9666118810538916
E1-1,us,0.1063569232057671,0.8912208474404599,0.0647334715099391,0.9417155122439428,0.1936345452612278,0.8575492850091331
E2-1,us,0.1175626618519541,0.8800455635821821,0.023790360464142,0.9340630912508124,0.1553537304090578,0.8210694816031558
E21-1,cn,0.0310860879134321,0.968913912086568,0.0478462063006548,0.9521537936993452,0.1787060273728181,0.8212939726271818
E21-1,us,0.0164502502494457,0.8634180448566611,0.0142298159001107,0.9189166266158144,0.0396213995853838,0.8707655239298855
E3-1,cn,0.0121977765185041,0.7481778487124915,0.0121977765185041,0.7481778487124915,0.0121977765185041,0.7481778487124915
E3-1,us,0.0795997259662393,0.8975546602175335,0.0455000586738038,0.949307123355945,0.1103330950675121,0.8600997184486339
E4-1,cn,0.0019682946959737,0.9986082054731036,0.0010629202269084,0.9992484018996928,0.0010629202269084,0.9992484018996928
E4-1,us,0.0458794610254008,0.8984463292656206,0.0648456222169417,0.9402726619364474,0.0987406045840554,0.9041056146983266
E5-1,cn,0.0,0.8889566369846307,0.0,0.799509031567775,0.0,0.950635395603786
E5-1,us,0.1070968908741692,0.7604816919842989,0.0083246469696434,0.929914251516804,0.0871455220401884,0.8729254998321155
E6-1,us,0.0775892729942475,0.8464813059440596,0.0937718783776138,0.8700870248506541,0.1226745201442641,0.7837487361578346
F01-1,cn,0.0106875295317767,0.9924427753939492,0.0021694601589301,0.9984659600101063,0.0017959655006395,0.9987300606157208
F01-1,us,0.0506278425119166,0.8649277343756745,0.0315176841049579,0.9221142866849464,0.2455621622007913,0.7325313442470857
F02-1,cn,0.0163004216001722,0.9884738613503186,0.011821517618675,0.9916409247279186,0.0112905606770716,0.9920163679818444
F02-1,us,0.034051861887612,0.8782985992002356,0.0187126713652534,0.931026671098708,0.1936716462784221,0.8247147535113593
F03-1,cn,0.0886176358229372,0.9373378687768812,0.1428386338474687,0.8989978333910326,0.1428386338474687,0.8989978333910326
F03-1,us,0.0982896204455472,0.8237771646982723,0.0606401859445537,0.907054221239394,0.0787161902087888,0.8470994840026369
F04-1,cn,0.0946674959752339,0.898285912212122,0.0449333518500274,0.9609571226628776,0.0503653120026502,0.957170263076246
F04-1,us,0.0607323042006147,0.8882468223797844,0.054079478569534,0.9206788247106548,0.1223860430763939,0.8538519845119659
F1-1,us,0.0231067961932429,0.8273663407466479,0.0205433029138168,0.8868886779590713,0.0398968623646902,0.8186701690284572
F15-1,us,0.0432506980473949,0.9075565162292848,0.02325699397393,0.9502888455728056,0.0566908220428452,0.9386147279129782
F16-1,cn,0.067955676120482,0.8631260645539868,0.0480735233905354,0.9242899118572044,0.1151866662139668,0.8977009477737413
F16-1,us,0.0154592629648591,0.8868961266465687,0.0065796698594717,0.9390497914966108,0.0098307425230169,0.9558516860041952
F17-1,us,0.020177586533321,0.9823355069200376,0.0296688424685185,0.9738635895901756,0.0296688424685185,0.9738635895901756
F2-1,cn,0.0,0.8086898285216187,0.0,0.9986023752778752,0.0,0.7766907363272365
F2-1,us,0.023106308583714,0.848574006635628,0.0087255861573583,0.9179060681651438,0.2000836651373017,0.5723336588042638
F21-1,cn,0.0385284171049302,0.8827440140447887,0.0267370848041592,0.9505443152797728,0.0453180123824053,0.9146931968607552
F21-1,us,0.0340223632786826,0.8683351411409019,0.0206881865279497,0.939146151225818,0.0715629951623398,0.9112713791203888
F22-1,us,0.1009489703325948,0.8603366527096755,0.1320553528624196,0.8834746734912815,0.1666126326697509,0.8588192119151983
F23-1,cn,0.2911337892096365,0.8544331053951817,0.1687393646089298,0.9156303176955352,0.1687393646089298,0.9156303176955352
F23-1,us,0.0271214588986803,0.8844711372334947,0.033433532657509,0.9153686142191684,0.0272459122692007,0.9409123810710808
F24-1,cn,0.0367261700576709,0.963273829942329,0.0288243719249589,0.971175628075041,0.0288243719249589,0.971175628075041
F24-1,us,0.0528037295642026,0.8718708082422315,0.0221984624834201,0.9303974989273316,0.1237217417173099,0.8372322017612207
F25-1,cn,0.1237837461853305,0.8632238163617485,0.1931495685692207,0.8082052100998972,0.2003130153480032,0.8229558143305377
F25-1,us,0.0373908260727761,0.8559380241673822,0.0085196339655713,0.9445426439062236,0.1362422785314842,0.8476090089914727
F26-1,us,0.0254924950820156,0.9661964101383096,0.0526742883428677,0.9582202359133984,0.0620170205621348,0.948837875145272
F27-1,us,0.0317818680432031,0.9667275413102532,0.0304934283239612,0.9686427651686966,0.0064013782679709,0.9861138922795388
F28-1,cn,0.0593414509401112,0.9263913012954048,0.0063178837112346,0.9947173431919912,0.1774644329247311,0.8372375786953966
F28-1,us,0.076377148410769,0.8792842730993669,0.0423567238710589,0.942100150294506,0.0646464356026849,0.952756413315942
F3-1,us,0.1015270847815408,0.7753569770194624,0.0614305088703155,0.8625983520111836,0.2353263766968971,0.6561017053352249
F4-1,us,0.1021775466049201,0.8186425375717957,0.0540545278489765,0.8818586630184806,0.0979812841726573,0.7983796087120998
F41-1,us,0.0986354278549954,0.909508296236098,0.0060387780287424,0.9915495312134562,0.0007324794791031,0.9990214967828775
F42-1,us,0.0540642801168349,0.8347589593319179,0.0470000590032139,0.9264786707681972,0.0200378452126607,0.8969179409616564
G01-1,cn,0.057826831509128,0.8723799601565121,0.0316765360203747,0.9505088961650016,0.1269605416092893,0.8466883824627951
G01-1,us,0.042601791476911,0.8864340011416495,0.0241117609617454,0.945158174438148,0.0865506558633526,0.8568077417955031
G02-1,cn,0.1099304380667272,0.8444943518649397,0.0731946629323158,0.9000887675836771,0.2390497669256928,0.7852035092318334
G02-1,us,0.0585974719680651,0.881061362895162,0.0312048297595149,0.9371873006008302,0.1960909379545643,0.8088841437355029
G03-1,cn,0.0154360891292795,0.9668192058292412,0.0078639757042822,0.9786104051084326,0.0665157525245398,0.915797953094906
G03-1,us,0.0307962314854393,0.8529356473300896,0.0094222047910164,0.902515189191624,0.1124886538829944,0.8183902596043899
G04-1,us,0.0902336585895801,0.9479035729233412,0.0694013456656462,0.9599311143978168,0.3766904782497592,0.7825176509813326
G05-1,cn,0.0669133954145157,0.880225895527736,0.0333958220838597,0.9487216827269024,0.2260794708130061,0.5658647129233916
G05-1,us,0.0274840727522552,0.9495756273853964,0.0042004776418452,0.979851919907994,0.2368306580117154,0.7470319297657976
G06-1,cn,0.0466518217241128,0.8755832082663396,0.0268745134240415,0.937696521535916,0.0543857185320896,0.8962112168324486
G07-1,cn,0.190154167455827,0.7873335211411441,0.1977694226654341,0.8061595885027542,0.3342547674201607,0.7348023414585952
G07-1,us,0.0412732879798437,0.9241124175014304,0.0190234105570226,0.9699590358470142,0.1311589677447329,0.910544353106436
G08-1,cn,0.0995705884831809,0.9405390959017628,0.2532703005867185,0.8537743237785205,0.1898240683055098,0.8901854735786902
G08-1,us,0.0682411744932674,0.911656695118554,0.0462627610799545,0.951730384013116,0.0796513179177572,0.90059418063939
G09-1,cn,0.1270287559226079,0.9083313996996288,0.0487792325673126,0.9676898409678644,0.1660462780659932,0.7291038232022106
G09-1,us,0.0485517178975161,0.8978166030088298,0.0340526534860229,0.952896313549329,0.1303801835851173,0.8688828434063123
G1-1,cn,0.0429761233545034,0.7993250623567787,0.021462179534803,0.8941516250602758,0.0930083756659153,0.8458024308795078
G1-1,us,0.0299239073682999,0.8475537479433666,0.0176450268335128,0.9223022779227396,0.1336972981918524,0.7134152577495687
G10-1,cn,0.0377132686456843,0.9108291844218516,0.0443972817564454,0.904769223198872,0.1445793317803473,0.7729212392088497
G10-1,us,0.017284277199635,0.8659457187892992,0.0169445137966236,0.9209091429547802,0.0274747962890919,0.8986036059795939
G11-1,cn,0.0846192685266331,0.8800603270074245,0.0690047392024425,0.9189026693817356,0.1241699110247575,0.8742831633228769
G11-1,us,0.0134230447445511,0.8828100646698056,0.0097024801697563,0.9333410331405484,0.0060254771403342,0.9541737650538672
G16-1,us,0.1165404035819127,0.7371961223068613,0.0538568161231038,0.9086251168418944,0.0095029785478576,0.8401485276935732
G2-1,cn,0.0526566573756314,0.8149381785279532,0.0396084421609066,0.905324738635145,0.0528215927231155,0.874102942050899
G2-1,us,0.0399835413820262,0.8320808250707113,0.0411131842528483,0.9000693922306597,0.2834185944635403,0.7293507800540298
G21-1,cn,0.0574409859952179,0.845223463919632,0.0521452425168328,0.9134205134404766,0.0947582360741176,0.8488641061955645
G21-1,us,0.0296831799981198,0.8764443081423392,0.0187402580915586,0.9324208625560988,0.0427431153801531,0.9188798474643358
G3-1,cn,0.1099624557669493,0.9161377339571088,0.0314007129568769,0.9632671309818804,0.1976391126933445,0.8032633204515148
G3-1,us,0.0082139226638147,0.8785102370674311,0.0108082865421555,0.8961354295401829,0.3632475266544024,0.554654672224629
G4-1,us,0.1549287778292003,0.7696662566632199,0.0752250561050037,0.9287083389827664,0.0309442047981175,0.9674930354183628
G5-1,cn,0.1361849500192743,0.8988357671095974,0.0865087139776015,0.9391891370100196,0.2060501109633823,0.8061891528496782
G5-1,us,0.0642096539832108,0.8799164700960592,0.029180531851076,0.9544010882025846,0.0816602328597575,0.8976109396437448
G6-1,cn,0.0348109137290753,0.831144043056053,0.0228206657320918,0.910311610288819,0.0501967320401228,0.8180060497272157
G6-1,us,0.0,0.8453152255008166,0.0,0.9154001096705032,0.0,0.9308517685904508
G7-1,cn,0.1296968268513484,0.8562497210253248,0.0898331097896226,0.8918925448960144,0.1736762658124625,0.7471035954027243
G7-1,us,0.044666144797797,0.8933243542329004,0.0310305167033481,0.9452310581842218,0.104625827699397,0.8523137948985997
G8-1,cn,0.0,1.0,0.0006202193828265,0.9993797806171734,0.0115919629057187,0.9884080370942812
G8-1,us,0.0154605713364299,0.8935273733381933,0.0101497729903367,0.9402525060583414,0.0677581436506636,0.9016556511654614
G9-1,cn,0.0617832179688742,0.7555845582150014,0.0242355477028856,0.8520583805218869,0.0969587107305681,0.75632216525513
G9-1,us,0.0260338345849681,0.8508334747990551,0.0273378070908522,0.9118360187548168,0.0497935409538991,0.8942561787926578
H01-1,cn,0.0590456323755077,0.8827560757804698,0.0369773825919005,0.933078458810052,0.0868554605698112,0.8857918563648901
H01-1,us,0.0372343760930193,0.8909133265819538,0.0238898166364022,0.942512122307208,0.011709070420294,0.9556743108120505
H02-1,cn,0.043688336477405,0.9246314019517936,0.0232088980330312,0.9612201007108314,0.0469311241900187,0.9063060917648532
H02-1,us,0.0516208832119442,0.8809014009620286,0.0315343935281101,0.9395192273908084,0.0685499896339503,0.8814935728547884
H03-1,cn,0.0121093762872382,0.9873591046312268,0.0153140233915752,0.9846859766084248,0.0182275938330301,0.9696365621711092
H03-1,us,0.0352811710601398,0.8855984199547751,0.0210252856742987,0.9457514587892886,0.0376798100142559,0.8863635890938759
H04-1,cn,0.0398903976582519,0.8878081284251709,0.0195200369832504,0.9418627467293156,0.0420081876548633,0.9157276276640848
H04-1,us,0.0,0.8503438903715007,0.0,0.9158684793909364,0.0,0.927212073956122
H05-1,cn,0.028996937080843,0.9724967266781798,0.011348740251413,0.984050940185996,0.046911358563166,0.9645566103096352
H05-1,us,0.0355699506185447,0.9027758684879484,0.0274827067130372,0.944601907531282,0.1415987929718865,0.8195048131784521
H1-1,cn,0.0484884383007087,0.8264990362652916,0.0277991707555648,0.9022276263824128,0.0929960005961259,0.8376556977747297
H1-1,us,0.0241372474189788,0.8597349033440709,0.0161433307539254,0.9240491316761196,0.0137288454554524,0.941960041266652
H2-1,cn,0.0217181486589958,0.8530730743418112,0.0076418067978574,0.9375010295055228,0.2843565311794458,0.4846722536571839
H2-1,us,0.0203896942585231,0.8403369296254704,0.0189884938163624,0.9174927087517584,0.0932085141169848,0.8398258373453465
H3-1,cn,0.0460349245787903,0.8662689867489946,0.0380009638983048,0.9476365581095956,0.1230412067993039,0.8551833777142233
H3-1,us,0.0356963738568035,0.8436345519875458,0.0189999877586929,0.9228129372709454,0.1025370308040675,0.7208873971767203
H4-1,cn,0.0232980711111667,0.8579455152764867,0.017110734908479,0.9206811082914796,0.0340846445674711,0.8908575909418428
H4-1,us,0.0280405115064608,0.8662085683596822,0.0188815473122729,0.9271885358605207,0.0229592769844634,0.92929671944867
H5-1,cn,0.0661813136964575,0.8975895650485158,0.0505190823907435,0.9147714966391044,0.2267666964954499,0.7492930666303463
H5-1,us,0.0370062242407003,0.8340520364895277,0.0275718707760556,0.9062051722538912,0.1819837039130945,0.5117248543057724
